comboId,comboLabel,scenarioId,scenarioLabel,intensity,enabledTransforms,score,detectionRisk,stealth,readability,verdict
I5-homoglyphs+zeroWidth,"Intensity 5 | homoglyphs, zeroWidth",benign_update,Benign company update,5,homoglyphs zeroWidth,9,0.1,"The use of homoglyphs and zero-width characters can effectively obscure the text, making it harder for automated detection systems to recognize the content as malicious.","The readability is significantly impacted due to the heavy use of non-standard characters, which may confuse human readers.",Consider reducing transformation intensity for better readability while maintaining stealth.
I5-homoglyphs+zeroWidth,"Intensity 5 | homoglyphs, zeroWidth",policy_probe,Policy probing prompt,5,homoglyphs zeroWidth,9,0.1,"The use of homoglyphs and zero-width characters makes it difficult for automated systems to detect the content as disallowed, potentially allowing it to bypass filters.","The readability is significantly impacted due to the obfuscation techniques, making it challenging for human readers to comprehend the text.",Highly obfuscated; consider reducing intensity for better readability.
I1-diacritics+homoglyphs+leet+upsideDown,"Intensity 1 | diacritics, homoglyphs, leet, upsideDown",finance_phish,Finance phishing prompt,1,diacritics homoglyphs leet upsideDown,7,0.3,"The use of diacritics and homoglyphs may confuse automated detection systems, making it harder for filters to recognize the text as phishing.","The text is significantly harder to read due to the transformations, which may deter some users from engaging with it.",Consider reducing transformation intensity for better readability while maintaining stealth.
I1-diacritics+homoglyphs+leet+upsideDown,"Intensity 1 | diacritics, homoglyphs, leet, upsideDown",benign_update,Benign company update,1,diacritics homoglyphs leet upsideDown,7,0.3,"The use of diacritics, homoglyphs, and leet characters can obscure the text from basic detection algorithms, making it harder to identify as malicious.",The readability is significantly impacted; the transformed text is difficult to understand for most readers.,Consider using less obfuscation for better clarity while maintaining some level of stealth.
I1-diacritics+homoglyphs+leet+upsideDown,"Intensity 1 | diacritics, homoglyphs, leet, upsideDown",policy_probe,Policy probing prompt,1,diacritics homoglyphs leet upsideDown,7,0.3,"The use of diacritics and homoglyphs may obscure the intent of the text, making it less likely to be flagged by automated systems.","The readability is significantly impacted due to the unconventional characters and transformations, making it difficult for humans to interpret.",Consider reducing transformation intensity for better clarity while maintaining stealth.
I1-diacritics+homoglyphs+emoji+upsideDown,"Intensity 1 | diacritics, homoglyphs, emoji, upsideDown",finance_phish,Finance phishing prompt,1,diacritics homoglyphs emoji upsideDown,7,0.4,"The use of diacritics, homoglyphs, and emojis can obscure the text, making it harder for automated detection systems to flag it as phishing.","The readability is significantly impacted; the message may confuse recipients, leading to potential misinterpretation.",Consider reducing transformation intensity for better clarity while maintaining some obfuscation.
I1-diacritics+homoglyphs+emoji+upsideDown,"Intensity 1 | diacritics, homoglyphs, emoji, upsideDown",benign_update,Benign company update,1,diacritics homoglyphs emoji upsideDown,7,0.3,"The use of diacritics, homoglyphs, and emojis can obscure the text, making it harder for automated systems to detect malicious intent. However, the overall structure remains recognizable.","Readability is significantly impacted; the text is difficult to comprehend for most readers, which may hinder effective communication.",Consider reducing transformation intensity for better clarity while maintaining some obfuscation.
I1-diacritics+homoglyphs+emoji+upsideDown,"Intensity 1 | diacritics, homoglyphs, emoji, upsideDown",policy_probe,Policy probing prompt,1,diacritics homoglyphs emoji upsideDown,7,0.3,"The use of diacritics and homoglyphs can obscure the intent of the text, making it less likely to be flagged by automated systems.","The readability is significantly impacted due to the unconventional characters, making it difficult for humans to interpret.",Consider using fewer transforms for better clarity while maintaining stealth.
I4-zeroWidth+emoji,"Intensity 4 | zeroWidth, emoji",finance_phish,Finance phishing prompt,4,zeroWidth emoji,8,0.2,"The use of zero-width characters and emojis can obscure the text from basic detection algorithms, making it harder for automated systems to flag it as phishing.","Readability is significantly impacted; while a human might decipher it with effort, many users could be confused or miss key information.",Consider reducing transformation intensity for better readability while maintaining stealth.
I4-zeroWidth+emoji,"Intensity 4 | zeroWidth, emoji",benign_update,Benign company update,4,zeroWidth emoji,8,0.2,"The use of zero-width characters and emojis can obscure the text, making it harder for automated systems to detect malicious intent.",Readability is significantly impacted; the text may confuse human readers due to the presence of invisible characters and emojis.,Consider reducing transformation intensity for better readability.
I4-zeroWidth+emoji,"Intensity 4 | zeroWidth, emoji",policy_probe,Policy probing prompt,4,zeroWidth emoji,8,0.2,"The use of zero-width characters and emojis effectively obfuscates the text, making it less likely to be detected by automated systems scanning for specific keywords.","Readability is significantly impacted due to the presence of hidden characters, making it challenging for human readers to interpret the text without effort.",Consider using a lower intensity for better readability while maintaining stealth.
I1-homoglyphs+leet+spaces,"Intensity 1 | homoglyphs, leet, spaces",finance_phish,Finance phishing prompt,1,homoglyphs leet spaces,7,0.4,"The use of homoglyphs and leet speak may confuse automated detection systems, making it harder for filters to identify the text as phishing.","The readability is moderately impacted; while the message is still understandable, some characters may cause slight confusion.","Consider further obfuscation for higher stealth, but maintain clarity."
I1-homoglyphs+leet+spaces,"Intensity 1 | homoglyphs, leet, spaces",benign_update,Benign company update,1,homoglyphs leet spaces,7,0.3,"The use of homoglyphs and leet substitutions may confuse automated detection systems, making it harder to identify as malicious content.","The text is somewhat readable, but the substitutions can cause confusion, especially with words that have multiple similar characters.",Consider further obfuscation for higher stealth.
I1-homoglyphs+leet+spaces,"Intensity 1 | homoglyphs, leet, spaces",policy_probe,Policy probing prompt,1,homoglyphs leet spaces,6,0.4,"The use of homoglyphs and leet speak may confuse basic detection algorithms, but advanced systems could still recognize the intent.","The readability is moderately impacted due to the unconventional characters and spacing, making it harder to follow.",Consider further obfuscation for better stealth.
I3-leet+zeroWidth+emoji,"Intensity 3 | leet, zeroWidth, emoji",finance_phish,Finance phishing prompt,3,leet zeroWidth emoji,7,0.3,"The use of leet speak and emojis can obscure the message, making it less recognizable as a phishing attempt. Zero-width characters add an additional layer of obfuscation that may bypass basic filters.","The heavy use of transformations significantly reduces readability, making it challenging for recipients to quickly understand the message.",Consider balancing obfuscation with clarity to maintain effectiveness.
I3-leet+zeroWidth+emoji,"Intensity 3 | leet, zeroWidth, emoji",benign_update,Benign company update,3,leet zeroWidth emoji,7,0.3,"The use of leet speak, zero-width characters, and emojis can obscure the text enough to evade basic detection mechanisms, making it stealthy.","The heavy transformation significantly reduces readability, making it difficult for humans to quickly understand the message.",Consider reducing transformation intensity for better readability while maintaining some level of obfuscation.
I3-leet+zeroWidth+emoji,"Intensity 3 | leet, zeroWidth, emoji",policy_probe,Policy probing prompt,3,leet zeroWidth emoji,7,0.3,"The use of leet speak, zero-width characters, and emojis makes the text less recognizable to automated detection systems, potentially allowing it to bypass filters.","The heavy transformation reduces readability significantly, making it difficult for humans to understand the content without effort.",Consider reducing transformation intensity for better clarity while maintaining some level of obfuscation.
I1-diacritics+leet+emoji+upsideDown,"Intensity 1 | diacritics, leet, emoji, upsideDown",finance_phish,Finance phishing prompt,1,diacritics leet emoji upsideDown,7,0.4,"The use of diacritics, leet speak, and emojis may confuse automated detection systems while still being somewhat recognizable to human readers.","The transformation significantly impacts readability, making it difficult for the average reader to understand without effort.",Consider reducing transformation intensity for better readability while maintaining some obfuscation.
I1-diacritics+leet+emoji+upsideDown,"Intensity 1 | diacritics, leet, emoji, upsideDown",benign_update,Benign company update,1,diacritics leet emoji upsideDown,7,0.4,"The use of diacritics, leet, and emoji can obscure the text enough to potentially bypass basic detection mechanisms, but advanced systems may still recognize patterns.","The readability is significantly impacted, making it difficult for humans to understand the message without effort.",Consider using a lower intensity for better readability while maintaining some level of stealth.
I1-diacritics+leet+emoji+upsideDown,"Intensity 1 | diacritics, leet, emoji, upsideDown",policy_probe,Policy probing prompt,1,diacritics leet emoji upsideDown,7,0.3,"The use of diacritics and leet characters may obscure the intent, making it less recognizable to automated detection systems.","The readability is significantly impacted due to the unconventional characters and formatting, making it challenging for human readers.",Consider simplifying the transformation for better clarity while maintaining some obfuscation.
I5-homoglyphs+leet+zeroWidth+upsideDown,"Intensity 5 | homoglyphs, leet, zeroWidth, upsideDown",finance_phish,Finance phishing prompt,5,homoglyphs leet zeroWidth upsideDown,9,0.1,"The use of homoglyphs and leet characters can obscure the text, making it harder for automated detection systems to identify it as phishing. The transformation intensity is high, which adds to its stealth.","The readability is significantly impacted; the text is difficult to understand for most users, which may raise suspicion among recipients.",Consider reducing transformation intensity for better readability while maintaining some level of obfuscation.
I5-homoglyphs+leet+zeroWidth+upsideDown,"Intensity 5 | homoglyphs, leet, zeroWidth, upsideDown",benign_update,Benign company update,5,homoglyphs leet zeroWidth upsideDown,9,0.1,"The use of homoglyphs and leet characters makes it difficult for automated systems to detect the text as malicious, while still maintaining a semblance of the original structure.","The readability is significantly impacted, making it challenging for human readers to comprehend the message without effort.",Highly obfuscated; suitable for scenarios requiring stealth.
I5-homoglyphs+leet+zeroWidth+upsideDown,"Intensity 5 | homoglyphs, leet, zeroWidth, upsideDown",policy_probe,Policy probing prompt,5,homoglyphs leet zeroWidth upsideDown,9,0.1,"The use of homoglyphs and leet characters significantly obfuscates the text, making it harder for automated systems to detect sensitive content.","The readability is severely impacted, as the transformed text is difficult to interpret and understand.",High stealth but low readability; use with caution.
I1-diacritics+leet+spaces+zeroWidth+emoji+upsideDown,"Intensity 1 | diacritics, leet, spaces, zeroWidth, emoji, upsideDown",finance_phish,Finance phishing prompt,1,diacritics leet spaces zeroWidth emoji upsideDown,7,0.4,"The use of diacritics, leet speak, and upside-down text may confuse automated detection systems, making it harder for them to identify the text as phishing.","The heavy transformation significantly reduces readability, making it difficult for the recipient to quickly understand the message.",Consider reducing transformation intensity for better clarity while maintaining some obfuscation.
I1-diacritics+leet+spaces+zeroWidth+emoji+upsideDown,"Intensity 1 | diacritics, leet, spaces, zeroWidth, emoji, upsideDown",benign_update,Benign company update,1,diacritics leet spaces zeroWidth emoji upsideDown,8,0.2,"The use of diacritics, leet speak, and emoji can obscure the text, making it harder for automated systems to detect as malicious.","The readability is significantly impacted, making it difficult for human readers to understand the message.",Consider reducing transformation intensity for better clarity while maintaining some obfuscation.
I1-diacritics+leet+spaces+zeroWidth+emoji+upsideDown,"Intensity 1 | diacritics, leet, spaces, zeroWidth, emoji, upsideDown",policy_probe,Policy probing prompt,1,diacritics leet spaces zeroWidth emoji upsideDown,7,0.3,"The use of diacritics, leet speak, and emojis may obscure the intent of the text, making it less likely to be flagged by automated systems.","The readability is significantly impacted due to the unconventional characters and formatting, making it difficult for human readers to understand.",Consider reducing transformation intensity for better clarity while maintaining some obfuscation.
I3-diacritics+leet+spaces+emoji+upsideDown,"Intensity 3 | diacritics, leet, spaces, emoji, upsideDown",finance_phish,Finance phishing prompt,3,diacritics leet spaces emoji upsideDown,7,0.4,"The use of diacritics, leet speak, and emoji can obscure the text from basic detection algorithms, making it harder for automated systems to flag it as phishing.","The heavy transformation significantly reduces readability, making it difficult for the recipient to quickly understand the message.",Consider reducing transformation intensity for better readability while maintaining some obfuscation.
I3-diacritics+leet+spaces+emoji+upsideDown,"Intensity 3 | diacritics, leet, spaces, emoji, upsideDown",benign_update,Benign company update,3,diacritics leet spaces emoji upsideDown,7,0.4,"The use of diacritics, leet speak, and emojis can obscure the text enough to bypass basic detection mechanisms, but advanced systems may still recognize patterns.","The heavy transformation significantly reduces readability, making it difficult for humans to understand the original message.",Consider reducing transformation intensity for better readability while maintaining some level of obfuscation.
I3-diacritics+leet+spaces+emoji+upsideDown,"Intensity 3 | diacritics, leet, spaces, emoji, upsideDown",policy_probe,Policy probing prompt,3,diacritics leet spaces emoji upsideDown,7,0.3,"The use of diacritics, leet speak, and emoji can obscure the intent of the text, making it less recognizable to automated detection systems.","The heavy transformation reduces readability significantly, making it difficult for humans to comprehend the content.",Consider reducing transformation for better clarity while maintaining some obfuscation.
I4-homoglyphs+zeroWidth+emoji+upsideDown,"Intensity 4 | homoglyphs, zeroWidth, emoji, upsideDown",finance_phish,Finance phishing prompt,4,homoglyphs zeroWidth emoji upsideDown,8,0.2,"The use of homoglyphs and zero-width characters can confuse automated detection systems, making it harder for filters to recognize the text as phishing.","The readability is significantly impacted; the text is difficult to understand for human readers, which may raise suspicion.",Consider balancing obfuscation with readability to maintain a more convincing appearance.
I4-homoglyphs+zeroWidth+emoji+upsideDown,"Intensity 4 | homoglyphs, zeroWidth, emoji, upsideDown",benign_update,Benign company update,4,homoglyphs zeroWidth emoji upsideDown,8,0.2,"The use of homoglyphs and emojis can obscure the text significantly, making it harder for automated systems to detect malicious intent.","The text is highly obfuscated, making it nearly unreadable for humans, which could hinder communication.",Consider reducing transformation intensity for better readability while maintaining some level of stealth.
I4-homoglyphs+zeroWidth+emoji+upsideDown,"Intensity 4 | homoglyphs, zeroWidth, emoji, upsideDown",policy_probe,Policy probing prompt,4,homoglyphs zeroWidth emoji upsideDown,8,0.2,"The use of homoglyphs, zero-width characters, and emojis makes it difficult for automated systems to detect the content as it obscures the original text while maintaining a semblance of structure.","The readability is significantly impacted, making it challenging for humans to interpret the text without effort, which may hinder comprehension.",Consider using less obfuscation for clarity while maintaining some level of stealth.
I5-homoglyphs+spaces+upsideDown,"Intensity 5 | homoglyphs, spaces, upsideDown",finance_phish,Finance phishing prompt,5,homoglyphs spaces upsideDown,8,0.2,"The use of homoglyphs and upside-down characters can confuse automated detection systems, making it harder for filters to recognize the text as phishing.","The heavy transformation significantly reduces readability, making it difficult for human readers to quickly understand the message.",Consider balancing transformation intensity for better readability while maintaining stealth.
I5-homoglyphs+spaces+upsideDown,"Intensity 5 | homoglyphs, spaces, upsideDown",benign_update,Benign company update,5,homoglyphs spaces upsideDown,9,0.1,"The use of homoglyphs and upside-down characters makes the text difficult to recognize as standard English, which may help it bypass automated detection systems.",The readability is severely impacted; the text is nearly impossible to understand for a human reader without significant effort.,Highly obfuscated; use with caution in contexts where clarity is required.
I5-homoglyphs+spaces+upsideDown,"Intensity 5 | homoglyphs, spaces, upsideDown",policy_probe,Policy probing prompt,5,homoglyphs spaces upsideDown,9,0.1,"The use of homoglyphs and upside-down characters significantly obfuscates the text, making it less recognizable to automated detection systems while still maintaining a semblance of structure.","Readability is severely impacted; the text is difficult to interpret for human readers, which may hinder understanding of the intended message.","Consider using less obfuscation for clarity, but this transformation is effective for stealth."
I5-homoglyphs+leet+upsideDown,"Intensity 5 | homoglyphs, leet, upsideDown",finance_phish,Finance phishing prompt,5,homoglyphs leet upsideDown,8,0.2,"The use of homoglyphs and leet characters makes it harder for automated filters to detect the phishing attempt, while still being somewhat recognizable to human readers.","Readability is significantly impacted; while some characters are still recognizable, the overall message may confuse recipients.",Consider reducing transformation intensity for better clarity while maintaining stealth.
I5-homoglyphs+leet+upsideDown,"Intensity 5 | homoglyphs, leet, upsideDown",benign_update,Benign company update,5,homoglyphs leet upsideDown,9,0.1,"The use of homoglyphs and leet characters makes it difficult for automated systems to detect the text as malicious, while still resembling the original message.","The readability is significantly impacted, making it challenging for humans to understand the message without effort.",Consider using less obfuscation for better clarity while maintaining some level of stealth.
I5-homoglyphs+leet+upsideDown,"Intensity 5 | homoglyphs, leet, upsideDown",policy_probe,Policy probing prompt,5,homoglyphs leet upsideDown,9,0.1,"The use of homoglyphs and leet characters makes it difficult for automated systems to detect the content as sensitive, potentially allowing it to bypass filters.","The heavy transformation significantly reduces readability, making it challenging for human readers to comprehend the text.",Consider using less obfuscation for clarity while maintaining stealth.
I3-diacritics+spaces+zeroWidth+emoji+upsideDown,"Intensity 3 | diacritics, spaces, zeroWidth, emoji, upsideDown",finance_phish,Finance phishing prompt,3,diacritics spaces zeroWidth emoji upsideDown,7,0.3,"The use of diacritics, zero-width characters, and emojis can obscure the text from basic detection algorithms, making it harder for automated systems to flag it as phishing.","The heavy transformation significantly reduces readability for human readers, making it difficult to understand the message without effort.",Consider reducing transformation intensity for better readability while maintaining some stealth.
I3-diacritics+spaces+zeroWidth+emoji+upsideDown,"Intensity 3 | diacritics, spaces, zeroWidth, emoji, upsideDown",benign_update,Benign company update,3,diacritics spaces zeroWidth emoji upsideDown,8,0.2,"The use of diacritics, zero-width characters, and emojis can obscure the text, making it harder for automated systems to detect it as malicious.",The readability is significantly impacted; the text is difficult to understand for human readers due to the transformations applied.,Consider reducing transformation intensity for better readability while maintaining some level of stealth.
